n_iterations,initial_n_cnf,initial_n_literal,avg_n_cnf,avg_n_literal,avg_n_ratio,mode_n_cnf,mode_n_literal,mode_n_ratio,median_n_cnf,median_n_literal,median_n_ratio,ratio_of_avgs,ratio_of_modes,ratio_of_medians,solve_time,result,id,heuristic,human_difficulty,avg_human_solve_time,n_knowns
3,12013,26269,1357.0,376.0,3.609042553191489,1357.0,376.0,3.609042553191489,1357.0,376.0,3.609042553191489,3.609042553191489,3.609042553191489,3.609042553191489,0.8088343143463135,True,diabolical_0409_25.txt,RANDOM,diabolical,1500,25
80,12013,26269,857.7,291.1,2.902717258937186,640.0,256.0,2.9863945578231292,806.0,283.0,2.848017181100789,2.946410168327035,2.5,2.8480565371024733,1.8421061038970947,True,diabolical_0409_25.txt,DLCS,diabolical,1500,25
537,12013,26269,690.2666666666667,265.2148148148148,2.5558385239361794,512.0,226.0,2.4,637.5,258.0,2.4583118001722655,2.6026700927270694,2.265486725663717,2.4709302325581395,7.148779392242432,True,diabolical_0409_25.txt,DLIS,diabolical,1500,25
512,12013,26269,693.8100775193799,266.29457364341084,2.560588273063291,576.0,248.0,2.4,641.5,258.0,2.4760922021844043,2.60542326502096,2.3225806451612905,2.4864341085271318,5.135724306106567,True,diabolical_0409_25.txt,JEROSLOW_WANG,diabolical,1500,25
512,12013,26269,693.8100775193799,266.29457364341084,2.560588273063291,576.0,248.0,2.4,641.5,258.0,2.4760922021844043,2.60542326502096,2.3225806451612905,2.4864341085271318,5.482491731643677,True,diabolical_0409_25.txt,JEROSLOW_WANG_TWO_SIDED,diabolical,1500,25
114,12013,26269,743.0526315789474,268.9122807017544,2.7008596875739395,512.0,256.0,2.9863945578231292,695.0,264.0,2.632575757575758,2.763178496868476,2.0,2.632575757575758,2.515266180038452,True,diabolical_0409_25.txt,DLIS_negated,diabolical,1500,25
24,12012,26268,780.9166666666666,265.0,2.9440681683614764,800.0,256.0,2.985074626865672,779.0,265.0,2.939564821143769,2.9468553459119495,3.125,2.939622641509434,1.092707633972168,True,diabolical_0609_28.txt,DLIS_negated,diabolical,1680,24
62,12012,26268,653.1764705882352,243.0,2.6689441362470157,513.0,256.0,2.985074626865672,642.5,243.0,2.6439845549383554,2.6879690147664004,2.00390625,2.6440329218106995,1.3453588485717773,True,diabolical_0609_28.txt,JEROSLOW_WANG_TWO_SIDED,diabolical,1680,24
62,12012,26268,653.1764705882352,243.0,2.6689441362470157,513.0,256.0,2.985074626865672,642.5,243.0,2.6439845549383554,2.6879690147664004,2.00390625,2.6440329218106995,1.431356430053711,True,diabolical_0609_28.txt,JEROSLOW_WANG,diabolical,1680,24
20,12012,26268,794.6,267.0,2.9740696711282597,800.0,258.0,2.985074626865672,793.0,267.0,2.9699809224553926,2.9760299625468165,3.10077519379845,2.9700374531835205,1.01237154006958,True,diabolical_0609_28.txt,DLCS,diabolical,1680,24
